Class,Temp,Temp,Temp,Temp,Humidity,Humidity,Humidity,Humidity,Light,Light,Light,Light,CO2,CO2,CO2,CO2
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
Bad,24.3488,0.8994,23,26,94.9526,0.6913,80,95,38.1992,62.086,4.6361,268.4478,326.6018,62.9395,20,477
Good,23.4172,1.3701,21,27,91.9569,3.7832,71,95,10.9736,4.1259,4.2212,23.527,324.9816,57.153,37,478
