feature,importance_mean,importance_std
Light,0.23593395012144933,0.009742767442487693
Fruit,0.19650193040154645,0.007813666611601617
Temp,0.12726188608657538,0.007751722482762311
Humidity,0.1015289526089695,0.007419800847901624
CO2,0.05492284510314156,0.005663796958168207
